text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"QNS ALL HANDS 34-13 38 ST, MIXED OCCUPANCY FIRE IN A MUSIC STUDIO,",FALSE,6,NA,2019-11-03T15:04:47Z,FALSE,NA,1191008328119390214,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS IND E ROOSEVELT AVE, LARGE RUBBISH FIRE BELOW GRADE IN SUBWAY, UNDER CONTROL",FALSE,13,NA,2019-11-03T13:14:24Z,FALSE,NA,1190980545699864576,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BX ALL HANDS 2708 E TREMONT AVE, MIXED OCCUPANCY FIRE ON FIRST FLR, UNDER CONTROL",FALSE,19,NA,2019-11-03T07:47:22Z,FALSE,NA,1190898246102765568,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BX ALL HANDS 2708 E TREMONT AVE, MIXED OCCUPANCY FIRE ON FIRST FLR,",FALSE,8,NA,2019-11-03T07:34:58Z,FALSE,NA,1190895124949217280,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"MAN ALL HANDS 413 E 12 ST, MULTIPLE DWELLING FIRE ON THE 4TH FLR,",FALSE,17,NA,2019-11-02T19:47:42Z,FALSE,NA,1190717135628242944,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"QNS ALL HANDS 83-29 263 ST, FIRE IN A GARAGE, UNDER CONTROL",FALSE,11,NA,2019-11-02T16:13:54Z,FALSE,NA,1190663333097152512,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 384 STUYVESANT AVE, FIRE IN THE CORNICE,",FALSE,9,NA,2019-11-02T15:11:24Z,FALSE,NA,1190647605254078465,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 234 E 92 ST, MULTIPLE DWELLING FIRE ON TOP FLR, UNDER CONTROL",FALSE,10,NA,2019-11-02T08:35:13Z,FALSE,NA,1190547900545273857,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"SI ALL HANDS 173 SOUTH AVE, PRIVATE DWELLING FIRE ON 1ST FLOR, UNDER CONTROL",FALSE,11,NA,2019-11-02T07:02:38Z,FALSE,NA,1190524599886401537,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 556 CROWN ST, MULTIPLE DWELLING FIRE ON 2ND FLR, UNDER CONTROL",FALSE,14,NA,2019-11-02T06:28:13Z,FALSE,NA,1190515938841546752,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"SI ALL HANDS 173 SOUTH AVE, PRIVATE DWELLING FIRE ON 1ST FLOR,",FALSE,12,NA,2019-11-02T06:09:46Z,FALSE,NA,1190511295113711616,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 556 CROWN ST, MULTIPLE DWELLING FIRE ON 2ND FLR,",FALSE,11,NA,2019-11-02T05:47:57Z,FALSE,NA,1190505806506143746,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 47-20 25 AVE, COMMERCIAL FIRE IN AN AUTO BODY SHOP,",FALSE,11,NA,2019-11-01T04:16:12Z,FALSE,NA,1190120330964226048,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,4,FALSE,FALSE,NA,NA
"BKLYN 2-ALARM 572 LINCOLN PL, MULTIPLE DWELLING FIRE ON THE 4TH FLR AND IN THE COCKLOFT, UNDER CONTROL",FALSE,17,NA,2019-10-31T23:11:51Z,FALSE,NA,1190043737315000320,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN 2-ALARM 572 LINCOLN PL, MULTIPLE DWELLING FIRE ON THE 4TH FLR AND IN THE COCKLOFT,",FALSE,17,NA,2019-10-31T22:29:26Z,FALSE,NA,1190033060437344256,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 572 LINCOLN PL, MULTIPLE DWELLING FIRE ON THE 4TH FLR,",FALSE,8,NA,2019-10-31T22:17:31Z,FALSE,NA,1190030065414889472,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 902 LINDEN BLVD, PRIVATE DWELLING FIRE IN A PD,",FALSE,9,NA,2019-10-31T16:32:06Z,FALSE,NA,1189943138124730369,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1630 E 102 ST, HIGH RISE APT 2H 2 FLR, UNDER CONTROL",FALSE,9,NA,2019-10-31T16:13:46Z,FALSE,NA,1189938521366241291,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 1630 E 102 ST, HIGH RISE APT 2H 2 FLR,",FALSE,11,NA,2019-10-31T15:08:11Z,FALSE,NA,1189922018721968128,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 190-23 111 RD, PRIVATE DWELLING FIRE ON 2ND FLR, UNDER CONTROL",FALSE,10,NA,2019-10-31T04:23:41Z,FALSE,NA,1189759825519005699,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"QNS ALL HANDS 190-23 111 RD, PRIVATE DWELLING FIRE ON 2ND FLR,",FALSE,6,NA,2019-10-31T04:03:59Z,FALSE,NA,1189754865599295488,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BX ALL HANDS 1731 HOBART AVE, PRIVATE DWELLING FIRE IN THE ATTIC, UNDER CONTROL",FALSE,13,NA,2019-10-31T00:13:11Z,FALSE,NA,1189696783124959233,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 5910 FT HAMILTON PKWY, MULTIPLE POLES AND PRIMARY WIRES DOWN AT LOCATION",FALSE,19,NA,2019-10-30T18:31:13Z,FALSE,NA,1189610726454890498,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,4,FALSE,FALSE,NA,NA
"BX ALL HANDS 1234 SHAKESPEARE AVE, MULTIPLE DWELLING FIRE ON THE TOP FLR,",FALSE,13,NA,2019-10-30T10:59:26Z,FALSE,NA,1189497031242518530,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,1,FALSE,FALSE,NA,NA
"BX ALL HANDS 806 FAIRMOUNT PL, MULTIPLE DWELLING FIRE ON 6TH FLR,",FALSE,26,NA,2019-10-29T22:12:14Z,FALSE,NA,1189303959669919744,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,4,FALSE,FALSE,NA,NA
"BX ALL HANDS 3461 SEYMOUR AVE, MULTIPLE DWELLING FIRE ON 1ST FLR, UNDER CONTROL",FALSE,16,NA,2019-10-29T15:27:52Z,FALSE,NA,1189202194995859456,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BX ALL HANDS 3461 SEYMOUR AVE, MULTIPLE DWELLING FIRE ON 1ST FLR,",FALSE,12,NA,2019-10-29T15:18:08Z,FALSE,NA,1189199747191574529,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,4,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 340 MCGUINNESS BLVD, MULTIPLE DWELLING FIRE 1ST FLR APT 1R, UNDER CONTROL",FALSE,13,NA,2019-10-29T05:57:20Z,FALSE,NA,1189058617938501632,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 340 MCGUINNESS BLVD, MULTIPLE DWELLING FIRE 1ST FLR APT 1R,",FALSE,10,NA,2019-10-29T05:43:35Z,FALSE,NA,1189055155649601536,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BKLYN ALL HANDS 310 MILFORD ST, MULTIPLE DWELLING FIRE ON 1ST FLR, UNDER CONTROL",FALSE,11,NA,2019-10-29T00:18:39Z,FALSE,NA,1188973386225074177,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"MAN ALL HANDS 590 W 172 ST, MULTIPLE DWELLING FIRE 2 FL, UNDER CONTROL",FALSE,14,NA,2019-10-28T23:24:44Z,FALSE,NA,1188959815311220736,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"MAN ALL HANDS 590 W 172 ST, MULTIPLE DWELLING FIRE 2 FL,",FALSE,13,NA,2019-10-28T22:00:04Z,FALSE,NA,1188938508599214080,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"MAN ALL HANDS 486 LENOX AVE, MULTIPLE DWELLING FIRE BASEMENT,",FALSE,14,NA,2019-10-28T18:18:39Z,FALSE,NA,1188882785890689024,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
"BX ALL HANDS 1960 WILLIAMSBRIDGE RD, MULTIPLE DWELLING FIRE IN PARKING GARAGE,",FALSE,22,NA,2019-10-27T22:10:29Z,FALSE,NA,1188578744123973632,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 30-14 86 ST, PRIVATE DWELLING FIRE ON 2ND FLR, UNDER CONTROL",FALSE,16,NA,2019-10-27T22:04:00Z,FALSE,NA,1188577112531361792,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,2,FALSE,FALSE,NA,NA
"QNS ALL HANDS 30-14 86 ST, PRIVATE DWELLING FIRE ON 2ND FLR,",FALSE,19,NA,2019-10-27T21:18:10Z,FALSE,NA,1188565574839947264,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,4,FALSE,FALSE,NA,NA
"MAN ALL HANDS 260 MADISON AVE, COMMERCIAL TRANSFORMER FIRE IN BASEMENT, UNDER CONTROL",FALSE,14,NA,2019-10-27T19:06:15Z,FALSE,NA,1188532379046088707,NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",FDNYAlerts,3,FALSE,FALSE,NA,NA
