"","case_type","communityDistrict","homeless","fires","hf_rate"
"156","SINGLE ADULT","314",163,40,4.075
"157","SINGLE ADULT","315",57,21,2.71428571428571
"158","SINGLE ADULT","316",339,40,8.475
"159","SINGLE ADULT","317",307,53,5.79245283018868
"160","SINGLE ADULT","318",195,74,2.63513513513514
"161","SINGLE ADULT","401",410,27,15.1851851851852
"162","SINGLE ADULT","402",227,21,10.8095238095238
"163","SINGLE ADULT","403",89,31,2.87096774193548
"164","SINGLE ADULT","404",75,28,2.67857142857143
"165","SINGLE ADULT","405",61,34,1.79411764705882
"166","SINGLE ADULT","406",22,14,1.57142857142857
"167","SINGLE ADULT","407",76,28,2.71428571428571
"168","SINGLE ADULT","408",107,35,3.05714285714286
"169","SINGLE ADULT","409",91,50,1.82
"170","SINGLE ADULT","410",63,26,2.42307692307692
"171","SINGLE ADULT","411",11,26,0.423076923076923
"172","SINGLE ADULT","412",424,113,3.75221238938053
"173","SINGLE ADULT","413",172,84,2.04761904761905
"174","SINGLE ADULT","414",234,39,6
"175","SINGLE ADULT","501",171,67,2.55223880597015
"176","SINGLE ADULT","502",28,18,1.55555555555556
"177","SINGLE ADULT","503",13,39,0.333333333333333
"178",NA,"356",NA,1,NA
