bbl,n,created,latitude,longitude
1000220013,2,2019-09-02T19:21:01Z,40.705679964399216,-74.01330172836009
1000327501,1,2020-01-11T12:45:29Z,40.703597040981926,-74.00978122562515
1000327501,1,2020-01-11T11:10:56Z,40.703597040981926,-74.00978122562515
1000400003,1,2019-09-30T17:10:36Z,40.70591371596806,-74.00860936465871
1002390011,2,2019-11-14T15:46:01Z,40.718254415741356,-73.995923593053
1002470001,32,2020-01-11T19:02:38Z,40.71130148733445,-73.98904895523961
1002560001,1,2019-07-06T14:36:07Z,40.71171038930049,-73.98835993470301
1002560001,1,2019-07-06T14:24:56Z,40.71171038930049,-73.98835993470301
1004160069,58,2018-12-30T12:55:22Z,40.720389420835545,-73.9893793570614
1004350057,1,2018-12-28T00:50:22Z,40.72681719985243,-73.98533748091528
1004350057,1,2018-12-28T00:33:40Z,40.72681719985243,-73.98533748091528
1004400053,2,2019-11-02T19:47:42Z,40.729635686807,-73.98262360267323
1004540029,4,2019-03-19T00:21:19Z,40.73121417767595,-73.98441643734971
1004540029,4,2019-03-18T23:48:06Z,40.73121417767595,-73.98441643734971
1005330001,1,2019-10-21T18:07:27Z,40.72911272257353,-73.99750685293887
1005330001,1,2019-10-21T17:23:21Z,40.72911272257353,-73.99750685293887
1005660018,4,2019-12-11T00:15:26Z,40.7323788920573,-73.99482944304215
1005660018,4,2019-12-10T23:12:02Z,40.7323788920573,-73.99482944304215
1005810001,1,2019-08-15T18:50:52Z,40.728368795904856,-74.0053614691402
1005810001,1,2019-08-15T18:40:22Z,40.728368795904856,-74.0053614691402
1008580026,1,2019-09-14T16:23:21Z,40.74387859101867,-73.98536981431363
1008600074,1,2020-01-28T03:51:21Z,40.74621160695459,-73.98520329010798
1008730019,3,2020-02-11T06:05:39Z,40.73633068167806,-73.98666689384287
1008730019,3,2020-02-11T05:25:48Z,40.73633068167806,-73.98666689384287
1008747501,1,2019-03-03T19:51:08Z,40.73617418196628,-73.98625195800895
1008747501,1,2019-03-03T19:50:57Z,40.73617418196628,-73.98625195800895
1009340001,2,2019-12-16T10:16:11Z,40.740485093313495,-73.97899769504247
1009340001,2,2019-12-16T09:54:37Z,40.740485093313495,-73.97899769504247
1009340001,2,2019-04-05T08:26:21Z,40.74015576568505,-73.97923235952365
1009340001,2,2019-04-05T07:28:40Z,40.74015576568505,-73.97923235952365
1009880001,1,2019-12-10T18:25:28Z,40.72735296503293,-73.97310647215647
1010130042,2,2019-04-22T09:03:04Z,40.755730743717706,-73.9882692245662
1010370003,1,2020-01-10T18:37:39Z,40.76118750953095,-73.99060378152298
1010420059,2,2019-03-04T17:12:00Z,40.764393045699876,-73.98724247624254
1010420059,2,2019-03-04T16:40:39Z,40.764393045699876,-73.98724247624254
1010520001,1,2019-06-09T23:52:31Z,40.7593020185164,-73.99263628771575
1010570029,2,2019-05-20T19:46:25Z,40.761794108568196,-73.9907372584727
1010570029,2,2019-05-20T19:16:57Z,40.761794108568196,-73.9907372584727
1010799029,64,2019-02-28T06:55:31Z,40.76509334779488,-73.99150211470403
1010907502,5,2019-11-30T11:54:14Z,40.760960070729254,-73.99861746470174
1011970064,22,2019-04-08T12:07:30Z,40.78487464580821,-73.97333962285963
1011970064,22,2019-04-08T11:32:50Z,40.78487464580821,-73.97333962285963
1011970064,22,2019-04-08T11:27:12Z,40.78487464580821,-73.97333962285963
1012160001,3,2019-10-17T21:42:43Z,40.78662606928596,-73.97459559980331
1012470057,1,2019-08-30T06:14:38Z,40.789712248393826,-73.98020640067669
1012470057,1,2019-08-30T05:53:30Z,40.789712248393826,-73.98020640067669
1013330023,116,2019-05-22T14:31:41Z,40.74805342434091,-73.97118531720243
1013460025,1,2019-11-11T13:46:51Z,40.75595098801416,-73.96465595827033
1013670001,1,2019-12-24T14:44:21Z,40.75748755032597,-73.96307776310553
1013670001,1,2019-12-24T14:33:48Z,40.75748755032597,-73.96307776310553
1014400030,2,2019-07-09T18:40:52Z,40.76385119538783,-73.95889756972812
1014400030,2,2019-07-09T17:31:50Z,40.76385119538783,-73.95889756972812
1014440130,2,2019-02-27T03:08:26Z,40.76674916451531,-73.95757810682105
1014440130,2,2019-02-27T02:41:09Z,40.76674916451531,-73.95757810682105
1014640105,37,2019-12-25T19:09:17Z,40.76567847853715,-73.95693981722088
1014640105,37,2019-12-25T17:11:52Z,40.76567847853715,-73.95693981722088
1014640105,37,2019-12-25T17:07:59Z,40.76567847853715,-73.95693981722088
1014640105,37,2019-12-25T17:01:44Z,40.76567847853715,-73.95693981722088
1014710021,1,2019-03-25T11:22:13Z,40.769538293513534,-73.95179998108699
1015290043,1,2019-06-29T18:23:15Z,40.77732898036904,-73.95455287132036
1015290043,1,2019-06-29T18:08:43Z,40.77732898036904,-73.95455287132036
1015510053,2,2019-04-17T15:36:37Z,40.7795231139258,-73.950532598371
1015510053,2,2019-04-17T15:00:41Z,40.7795231139258,-73.950532598371
1015510053,2,2019-04-17T14:10:47Z,40.7795231139258,-73.950532598371
1015510053,2,2019-04-17T13:54:38Z,40.7795231139258,-73.950532598371
1015590019,1,2019-06-17T18:42:58Z,40.77198935743497,-73.95182708987073
1015710003,1,2019-05-10T10:18:28Z,40.78025434163796,-73.94689959102253
1015710003,1,2019-05-10T09:49:30Z,40.78025434163796,-73.94689959102253
1016160001,87,2019-05-01T21:37:08Z,40.79715186811168,-73.94901341309001
1016160001,87,2019-05-01T21:31:33Z,40.79715186811168,-73.94901341309001
1016467501,8,2020-01-21T07:02:33Z,40.78469039089141,-73.94812380677527
1016467501,8,2020-01-21T06:43:58Z,40.78469039089141,-73.94812380677527
