input_location,latitude,longitude,bbl,fireBattalion,censusTract2010,communityDistrict,report_date,borough,case_type,cases,individuals
188 FULTON ST,40.69875262442674,-73.99141319840373,NA,32,   1  ,302,12/31/2019,Brooklyn,ADULT FAMILY,14,30
188 FULTON ST,40.69875262442674,-73.99141319840373,NA,32,   1  ,302,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,77,230
188 FULTON ST,40.69875262442674,-73.99141319840373,NA,32,   1  ,302,12/31/2019,Brooklyn,SINGLE ADULT,180,180
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  ,308,12/31/2019,Brooklyn,ADULT FAMILY,23,46
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  ,308,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,152,455
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  ,308,12/31/2019,Brooklyn,SINGLE ADULT,243,243
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  ,308,12/31/2019,Brooklyn,ADULT FAMILY,23,46
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  ,308,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,152,455
1357 EASTERN PKWY,40.66841422652508,-73.92346766690771,3013930053,38, 359  ,308,12/31/2019,Brooklyn,SINGLE ADULT,243,243
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  ,301,12/31/2019,Brooklyn,ADULT FAMILY,18,37
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  ,301,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,95,299
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  ,301,12/31/2019,Brooklyn,SINGLE ADULT,130,130
601 VANSINDEREN AVE,40.66182513311628,-73.89990251641406,3038330006,44,1132  ,305,12/31/2019,Brooklyn,ADULT FAMILY,116,247
601 VANSINDEREN AVE,40.66182513311628,-73.89990251641406,3038330006,44,1132  ,305,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,583,1835
601 VANSINDEREN AVE,40.66182513311628,-73.89990251641406,3038330006,44,1132  ,305,12/31/2019,Brooklyn,SINGLE ADULT,571,571
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  ,301,12/31/2019,Brooklyn,ADULT FAMILY,18,37
372 TEN EYCK ST,40.71191494063576,-73.9349784692916,3030290038,28, 485  ,301,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,95,299
